domain,status,protocol,reason
briggsmobiledetailing.com,unreachable,,HTTPS: Connection error: Cannot connect to host briggsmobiledetailing.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host briggsmobiledetailing.com:80 ssl:False [getaddrinfo failed]
uniqueservices.us,unreachable,,HTTPS: Connection error: Cannot connect to host uniqueservices.us:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host uniqueservices.us:80 ssl:False [getaddrinfo failed]
sandiegorealestatejobs.net,unreachable,,HTTPS: Connection error: Cannot connect to host sandiegorealestatejobs.net:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host sandiegorealestatejobs.net:80 ssl:False [getaddrinfo failed]
belanshion.com,unreachable,,HTTPS: Connection error: Cannot connect to host belanshion.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host belanshion.com:80 ssl:False [getaddrinfo failed]
aesgoldmine.com,unreachable,,HTTPS: Timeout | HTTP: Timeout
romangalloway.com,unreachable,,HTTPS: Connection error: Cannot connect to host romangalloway.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host romangalloway.com:80 ssl:False [getaddrinfo failed]
safetychain.com,unreachable,,"HTTPS: Other error: ClientResponseError: 400, message='Got more than 8190 bytes when reading: b""default-src \'self\'; script-src \'self\' \'unsafe-inline\' \'unsafe-eval\' blob: https://staging.safetychai..."".', url='https://safetychain.com' | HTTP: Other error: ClientResponseError: 400, message='Got more than 8190 bytes when reading: b""default-src \'self\'; script-src \'self\' \'unsafe-inline\' \'unsafe-eval\' blob: https://staging.safetychai..."".', url='https://safetychain.com/'"
flatpondpublishing.com,unreachable,,HTTPS: HTTP 500 | HTTP: HTTP 500
hallmemphis.org,unreachable,,HTTPS: Connection error: Cannot connect to host hallmemphis.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host hallmemphis.org:80 ssl:False [getaddrinfo failed]
kalamazoomijobs.com,unreachable,,HTTPS: Connection error: Cannot connect to host kalamazoomijobs.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host kalamazoomijobs.com:80 ssl:False [getaddrinfo failed]
nymphyacht.com,unreachable,,HTTPS: Connection error: Cannot connect to host nymphyacht.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host nymphyacht.com:80 ssl:False [getaddrinfo failed]
alphaquorumstore.com,unreachable,,HTTPS: Connection error: Cannot connect to host alphaquorumstore.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host alphaquorumstore.com:80 ssl:False [getaddrinfo failed]
baxland.com,unreachable,,HTTPS: Timeout | HTTP: Connection error: Cannot connect to host www.baxland.com:80 ssl:False [getaddrinfo failed]
befeni-usa.com,unreachable,,HTTPS: Timeout | HTTP: Timeout
chugiak.org,unreachable,,HTTPS: HTTP 523 | HTTP: HTTP 523
wordofgodokc.com,reachable,https,HTTP 200
bytheseat.com,unreachable,,HTTPS: Connection error: Cannot connect to host bytheseat.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host bytheseat.com:80 ssl:False [getaddrinfo failed]
gentleconfections.com,reachable,https,HTTP 200
hairdesigners-hairsalon.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
poocheshouseboutique.com,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
yttangsoodo.com,unreachable,,HTTPS: 403 Forbidden (Cloudflare bot protection) | HTTP: 403 Forbidden (Cloudflare bot protection)
big-dog-boarding.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
kiplearningandactivitycenter.com,unreachable,,HTTPS: Connection error: Cannot connect to host kiplearningandactivitycenter.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host kiplearningandactivitycenter.com:80 ssl:False [getaddrinfo failed]
thecheapghostwriter.com,unreachable,,HTTPS: Connection error: Cannot connect to host thecheapghostwriter.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host thecheapghostwriter.com:80 ssl:False [getaddrinfo failed]
flash-wingo.com,unreachable,,HTTPS: Connection error: Cannot connect to host flash-wingo.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host flash-wingo.com:80 ssl:False [getaddrinfo failed]
getrazuzz.com,unreachable,,HTTPS: Connection error: Cannot connect to host getrazuzz.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host getrazuzz.com:80 ssl:False [getaddrinfo failed]
wibidata.com,unreachable,,HTTPS: HTTP 436 | HTTP: HTTP 436
edgeinsurance.biz,unreachable,,HTTPS: Connection error: Cannot connect to host edgeinsurance.biz:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host edgeinsurance.biz:80 ssl:False [getaddrinfo failed]
cindywalker.com,unreachable,,HTTPS: Connection error: Cannot connect to host cindywalker.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host cindywalker.com:80 ssl:False [getaddrinfo failed]
sustainableracine.org,unreachable,,HTTPS: Connection error: Cannot connect to host sustainableracine.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host sustainableracine.org:80 ssl:False [getaddrinfo failed]
d-l-roofing-and-construction-llc.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
sagacitystays.com,unreachable,,HTTPS: Connection error: Cannot connect to host sagacitystays.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host sagacitystays.com:80 ssl:False [getaddrinfo failed]
